m49_a3_country,country,continent,region_un,region_wb,su_a3
004,Afghanistan,Asia,Asia,South Asia,AFG
008,Albania,Europe,Europe,Europe & Central Asia,ALB
012,Algeria,Africa,Africa,Middle East & North Africa,DZA
016,American Samoa,Oceania,No region,No subregion,ASM
020,Andorra,Europe,No region,No subregion,AND
024,Angola,Africa,Africa,Sub-Saharan Africa,AGO
660,Anguilla,South America,No region,No subregion,AIA
028,Antigua and Barbuda,South America,No region,No subregion,ATG
032,Argentina,South America,Americas,Latin America & Caribbean,ARG
051,Armenia,Asia,Asia,Europe & Central Asia,ARM
533,Aruba,South America,No region,No subregion,ABW
036,Australia,Oceania,Oceania,East Asia & Pacific,AUS
040,Austria,Europe,Europe,Europe & Central Asia,AUT
031,Azerbaijan,Asia,Asia,Europe & Central Asia,AZE
044,Bahamas,North America,Americas,Latin America & Caribbean,BHS
048,Bahrain,Asia,No region,No subregion,BHR
050,Bangladesh,Asia,Asia,South Asia,BGD
052,Barbados,North America,No region,No subregion,BRB
112,Belarus,Europe,Europe,Europe & Central Asia,BLR
056,Belgium,Europe,Europe,Europe & Central Asia,BEL
084,Belize,North America,Americas,Latin America & Caribbean,BLZ
204,Benin,Africa,Africa,Sub-Saharan Africa,BEN
060,Bermuda,No continent,No region,No subregion,BMU
064,Bhutan,Asia,Asia,South Asia,BTN
068,Bolivia (Plurin. State of),South America,Americas,Latin America & Caribbean,BOL
535,"Bonaire, St. Eustatius & Saba",No continent,No region,No subregion,BES
070,Bosnia and Herzegovina,Europe,Europe,Europe & Central Asia,BIH
072,Botswana,Africa,Africa,Sub-Saharan Africa,BWA
076,Brazil,South America,Americas,Latin America & Caribbean,BRA
092,British Virgin Islands,No continent,No region,No subregion,VGB
096,Brunei Darussalam,Asia,Asia,East Asia & Pacific,BRN
100,Bulgaria,Europe,Europe,Europe & Central Asia,BGR
854,Burkina Faso,Africa,Africa,Sub-Saharan Africa,BFA
108,Burundi,Africa,Africa,Sub-Saharan Africa,BDI
132,Cabo Verde,No continent,No region,No subregion,CPV
116,Cambodia,Asia,Asia,East Asia & Pacific,KHM
120,Cameroon,Africa,Africa,Sub-Saharan Africa,CMR
124,Canada,North America,Americas,North America,CAN
136,Cayman Islands,No continent,No region,No subregion,CYM
140,Central African Republic,Africa,Africa,Sub-Saharan Africa,CAF
148,Chad,Africa,Africa,Sub-Saharan Africa,TCD
830,Channel Islands,No continent,No region,No subregion,
152,Chile,South America,Americas,Latin America & Caribbean,CHL
156,China,Asia,Asia,East Asia & Pacific,CHN
344,"China, Hong Kong SAR",Asia,No region,No subregion,HKG
446,"China, Macao SAR",Asia,No region,No subregion,MAC
170,Colombia,South America,Americas,Latin America & Caribbean,COL
174,Comoros,Africa,No region,No subregion,COM
178,Congo,Africa,Africa,Sub-Saharan Africa,COG
184,Cook Islands,Oceania,No region,No subregion,COK
188,Costa Rica,North America,Americas,Latin America & Caribbean,CRI
191,Croatia,Europe,Europe,Europe & Central Asia,HRV
192,Cuba,North America,Americas,Latin America & Caribbean,CUB
531,Curaçao,No continent,No region,No subregion,CUW
196,Cyprus,Asia,Asia,Europe & Central Asia,CYP
203,Czechia,Europe,Europe,Europe & Central Asia,CZE
384,Côte dIvoire,Africa,Africa,Sub-Saharan Africa,CIV
408,Dem. People's Rep. Korea,Asia,Asia,East Asia & Pacific,PRK
180,Dem. Rep. of the Congo,Africa,Africa,Sub-Saharan Africa,COD
208,Denmark,Europe,Europe,Europe & Central Asia,DNK
262,Djibouti,Africa,Africa,Middle East & North Africa,DJI
212,Dominica,No continent,No region,No subregion,DMA
214,Dominican Republic,North America,Americas,Latin America & Caribbean,DOM
218,Ecuador,South America,Americas,Latin America & Caribbean,ECU
818,Egypt,Africa,Africa,Middle East & North Africa,EGY
222,El Salvador,North America,Americas,Latin America & Caribbean,SLV
226,Equatorial Guinea,Africa,Africa,Sub-Saharan Africa,GNQ
232,Eritrea,Africa,Africa,Sub-Saharan Africa,ERI
233,Estonia,Europe,Europe,Europe & Central Asia,EST
748,Eswatini,Africa,Africa,Sub-Saharan Africa,SWZ
231,Ethiopia,Africa,Africa,Sub-Saharan Africa,ETH
238,Falkland Islands (Malvinas),South America,Americas,Latin America & Caribbean,FLK
234,Faroe Islands,No continent,No region,No subregion,FRO
242,Fiji,Oceania,Oceania,East Asia & Pacific,FJI
246,Finland,Europe,Europe,Europe & Central Asia,FIN
250,France,Europe,Europe,Europe & Central Asia,FRA
254,French Guiana,No continent,No region,No subregion,GUF
